src,rel,dst,evidence_span,evidence_text,confidence
Article 25,CONTAINS,Article 25(4),,,1.0
Article 25,CONTAINS,Article 25(5),,,1.0
Article 26,CONTAINS,Article 26(1),,,1.0
Article 26,CONTAINS,Article 26(2),,,1.0
Article 26,CONTAINS,Article 26(3),,,1.0
Article 26,CONTAINS,Article 26(4),,,1.0
Article 26,CONTAINS,Article 26(5),,,1.0
Article 26,CONTAINS,Article 26(6),,,1.0
Article 26,CONTAINS,Article 26(7),,,1.0
Article 26,CONTAINS,Article 26(8),,,1.0
Article 26,CONTAINS,Article 26(9),,,1.0
Article 26,CONTAINS,Article 26(10),,,1.0
Article 26,CONTAINS,Article 26(11),,,1.0
Article 26,CONTAINS,Article 26(12),,,1.0
Article 27,CONTAINS,Article 27(1),,,1.0
Article 27,CONTAINS,Article 27(2),,,1.0
Article 27,CONTAINS,Article 27(3),,,1.0
Article 27,CONTAINS,Article 27(4),,,1.0
Article 27,CONTAINS,Article 27(5),,,1.0
Article 28,CONTAINS,Article 28(1),,,1.0
Article 28,CONTAINS,Article 28(2),,,1.0
Article 28,CONTAINS,Article 28(3),,,1.0
Article 28,CONTAINS,Article 28(4),,,1.0
Article 28,CONTAINS,Article 28(5),,,1.0
Article 28,CONTAINS,Article 28(6),,,1.0
Article 28,CONTAINS,Article 28(7),,,1.0
Article 29,CONTAINS,Article 29(1),,,1.0
Article 29,CONTAINS,Article 29(2),,,1.0
Article 29,CONTAINS,Article 29(3),,,1.0
Article 29,CONTAINS,Article 29(4),,,1.0
Article 30,CONTAINS,Article 30(1),,,1.0
Article 30,CONTAINS,Article 30(2),,,1.0
Article 30,CONTAINS,Article 30(3),,,1.0
Article 30,CONTAINS,Article 30(4),,,1.0
Article 30,CONTAINS,Article 30(5),,,1.0
Article 31,CONTAINS,Article 31(1),,,1.0
Article 31,CONTAINS,Article 31(2),,,1.0
Article 31,CONTAINS,Article 31(3),,,1.0
Article 31,CONTAINS,Article 31(4),,,1.0
Article 31,CONTAINS,Article 31(5),,,1.0
Article 31,CONTAINS,Article 31(6),,,1.0
Article 31,CONTAINS,Article 31(7),,,1.0
Article 31,CONTAINS,Article 31(8),,,1.0
Article 31,CONTAINS,Article 31(9),,,1.0
Article 31,CONTAINS,Article 31(10),,,1.0
Article 31,CONTAINS,Article 31(11),,,1.0
Article 31,CONTAINS,Article 31(12),,,1.0
Article 33,CONTAINS,Article 33(1),,,1.0
Article 33,CONTAINS,Article 33(2),,,1.0
Article 33,CONTAINS,Article 33(3),,,1.0
Article 33,CONTAINS,Article 33(4),,,1.0
Article 34,CONTAINS,Article 34(1),,,1.0
Article 34,CONTAINS,Article 34(2),,,1.0
Article 34,CONTAINS,Article 34(3),,,1.0
Article 35,CONTAINS,Article 35(1),,,1.0
Article 35,CONTAINS,Article 35(2),,,1.0
Article 36,CONTAINS,Article 36(1),,,1.0
Article 36,CONTAINS,Article 36(2),,,1.0
Article 36,CONTAINS,Article 36(3),,,1.0
Article 36,CONTAINS,Article 36(4),,,1.0
Article 36,CONTAINS,Article 36(5),,,1.0
Article 36,CONTAINS,Article 36(6),,,1.0
Article 36,CONTAINS,Article 36(7),,,1.0
Article 36,CONTAINS,Article 36(8),,,1.0
Article 36,CONTAINS,Article 36(9),,,1.0
Article 37,CONTAINS,Article 37(1),,,1.0
Article 37,CONTAINS,Article 37(2),,,1.0
Article 37,CONTAINS,Article 37(3),,,1.0
Article 37,CONTAINS,Article 37(4),,,1.0
Article 38,CONTAINS,Article 38(1),,,1.0
Article 38,CONTAINS,Article 38(2),,,1.0
Article 38,CONTAINS,Article 38(3),,,1.0
Article 40,CONTAINS,Article 40(1),,,1.0
Article 40,CONTAINS,Article 40(2),,,1.0
Article 40,CONTAINS,Article 40(3),,,1.0
Article 41,CONTAINS,Article 41(1),,,1.0
Article 41,CONTAINS,Article 41(2),,,1.0
Article 41,CONTAINS,Article 41(3),,,1.0
Article 41,CONTAINS,Article 41(4),,,1.0
Article 41,CONTAINS,Article 41(5),,,1.0
Article 41,CONTAINS,Article 41(6),,,1.0
Article 42,CONTAINS,Article 42(1),,,1.0
Article 42,CONTAINS,Article 42(2),,,1.0
Article 43,CONTAINS,Article 43(1),,,1.0
Article 43,CONTAINS,Article 43(2),,,1.0
Article 43,CONTAINS,Article 43(3),,,1.0
Article 43,CONTAINS,Article 43(4),,,1.0
Article 43,CONTAINS,Article 43(5),,,1.0
Article 43,CONTAINS,Article 43(6),,,1.0
Article 44,CONTAINS,Article 44(1),,,1.0
Article 44,CONTAINS,Article 44(2),,,1.0
Article 44,CONTAINS,Article 44(3),,,1.0
Article 45,CONTAINS,Article 45(1),,,1.0
Article 45,CONTAINS,Article 45(2),,,1.0
Article 45,CONTAINS,Article 45(3),,,1.0
Article 45,CONTAINS,Article 45(4),,,1.0
Article 46,CONTAINS,Article 46(1),,,1.0
Article 46,CONTAINS,Article 46(2),,,1.0
Article 46,CONTAINS,Article 46(3),,,1.0
Article 46,CONTAINS,Article 46(4),,,1.0
Article 46,CONTAINS,Article 46(5),,,1.0
Article 46,CONTAINS,Article 46(6),,,1.0
Article 46,CONTAINS,Article 46(7),,,1.0
Article 47,CONTAINS,Article 47(1),,,1.0
Article 47,CONTAINS,Article 47(2),,,1.0
Article 47,CONTAINS,Article 47(3),,,1.0
Article 47,CONTAINS,Article 47(4),,,1.0
Article 47,CONTAINS,Article 47(5),,,1.0
Article 48,CONTAINS,Article 48(1),,,1.0
Article 48,CONTAINS,Article 48(2),,,1.0
Article 48,CONTAINS,Article 48(3),,,1.0
Article 48,CONTAINS,Article 48(4),,,1.0
Article 48,CONTAINS,Article 48(5),,,1.0
Article 49,CONTAINS,Article 49(1),,,1.0
Article 49,CONTAINS,Article 49(2),,,1.0
Article 49,CONTAINS,Article 49(3),,,1.0
Article 49,CONTAINS,Article 49(4),,,1.0
Article 49,CONTAINS,Article 49(5),,,1.0
Article 50,CONTAINS,Article 50(1),,,1.0
Article 50,CONTAINS,Article 50(2),,,1.0
Article 50,CONTAINS,Article 50(3),,,1.0
Article 50,CONTAINS,Article 50(4),,,1.0
Article 50,CONTAINS,Article 50(5),,,1.0
Article 50,CONTAINS,Article 50(6),,,1.0
Article 50,CONTAINS,Article 50(7),,,1.0
Article 51,CONTAINS,Article 51(1),,,1.0
Article 51,CONTAINS,Article 51(2),,,1.0
Article 51,CONTAINS,Article 51(3),,,1.0
Article 52,CONTAINS,Article 52(1),,,1.0
Article 52,CONTAINS,Article 52(2),,,1.0
Article 52,CONTAINS,Article 52(3),,,1.0
Article 52,CONTAINS,Article 52(4),,,1.0
Article 52,CONTAINS,Article 52(5),,,1.0
Article 52,CONTAINS,Article 52(6),,,1.0
Article 53,CONTAINS,Article 53(1),,,1.0
Article 53,CONTAINS,Article 53(2),,,1.0
Article 53,CONTAINS,Article 53(3),,,1.0
Article 53,CONTAINS,Article 53(4),,,1.0
Article 53,CONTAINS,Article 53(5),,,1.0
Article 53,CONTAINS,Article 53(6),,,1.0
Article 53,CONTAINS,Article 53(7),,,1.0
Article 54,CONTAINS,Article 54(1),,,1.0
Article 54,CONTAINS,Article 54(2),,,1.0
Article 54,CONTAINS,Article 54(3),,,1.0
Article 54,CONTAINS,Article 54(4),,,1.0
Article 54,CONTAINS,Article 54(5),,,1.0
Article 54,CONTAINS,Article 54(6),,,1.0
Article 55,CONTAINS,Article 55(1),,,1.0
Article 55,CONTAINS,Article 55(2),,,1.0
Article 55,CONTAINS,Article 55(3),,,1.0
Article 56,CONTAINS,Article 56(1),,,1.0
Article 56,CONTAINS,Article 56(2),,,1.0
Article 56,CONTAINS,Article 56(3),,,1.0
Article 56,CONTAINS,Article 56(4),,,1.0
Article 56,CONTAINS,Article 56(5),,,1.0
Article 56,CONTAINS,Article 56(6),,,1.0
Article 56,CONTAINS,Article 56(7),,,1.0
Article 56,CONTAINS,Article 56(8),,,1.0
Article 56,CONTAINS,Article 56(9),,,1.0
Article 57,CONTAINS,Article 57(1),,,1.0
Article 57,CONTAINS,Article 57(2),,,1.0
Article 57,CONTAINS,Article 57(3),,,1.0
Article 57,CONTAINS,Article 57(4),,,1.0
Article 57,CONTAINS,Article 57(5),,,1.0
Article 57,CONTAINS,Article 57(6),,,1.0
Article 57,CONTAINS,Article 57(7),,,1.0
Article 57,CONTAINS,Article 57(8),,,1.0
Article 57,CONTAINS,Article 57(9),,,1.0
Article 57,CONTAINS,Article 57(10),,,1.0
Article 57,CONTAINS,Article 57(11),,,1.0
Article 57,CONTAINS,Article 57(12),,,1.0
Article 57,CONTAINS,Article 57(13),,,1.0
Article 57,CONTAINS,Article 57(14),,,1.0
Article 57,CONTAINS,Article 57(15),,,1.0
Article 57,CONTAINS,Article 57(16),,,1.0
Article 57,CONTAINS,Article 57(17),,,1.0
Article 58,CONTAINS,Article 58(1),,,1.0
Article 58,CONTAINS,Article 58(2),,,1.0
Article 58,CONTAINS,Article 58(3),,,1.0
Article 58,CONTAINS,Article 58(4),,,1.0
Article 59,CONTAINS,Article 59(1),,,1.0
Article 59,CONTAINS,Article 59(2),,,1.0
Article 59,CONTAINS,Article 59(3),,,1.0
Article 60,CONTAINS,Article 60(1),,,1.0
Article 60,CONTAINS,Article 60(2),,,1.0
Article 60,CONTAINS,Article 60(3),,,1.0
Article 60,CONTAINS,Article 60(4),,,1.0
Article 60,CONTAINS,Article 60(5),,,1.0
Article 60,CONTAINS,Article 60(6),,,1.0
Article 60,CONTAINS,Article 60(7),,,1.0
Article 60,CONTAINS,Article 60(8),,,1.0
Article 60,CONTAINS,Article 60(9),,,1.0
Article 61,CONTAINS,Article 61(1),,,1.0
Article 61,CONTAINS,Article 61(2),,,1.0
Article 62,CONTAINS,Article 62(1),,,1.0
Article 62,CONTAINS,Article 62(2),,,1.0
Article 62,CONTAINS,Article 62(3),,,1.0
Article 63,CONTAINS,Article 63(1),,,1.0
Article 63,CONTAINS,Article 63(2),,,1.0
Article 64,CONTAINS,Article 64(1),,,1.0
Article 64,CONTAINS,Article 64(2),,,1.0
Article 65,CONTAINS,Article 65(1),,,1.0
Article 65,CONTAINS,Article 65(2),,,1.0
Article 65,CONTAINS,Article 65(3),,,1.0
Article 65,CONTAINS,Article 65(4),,,1.0
Article 65,CONTAINS,Article 65(5),,,1.0
Article 65,CONTAINS,Article 65(6),,,1.0
Article 65,CONTAINS,Article 65(7),,,1.0
Article 65,CONTAINS,Article 65(8),,,1.0
Article 67,CONTAINS,Article 67(1),,,1.0
Article 67,CONTAINS,Article 67(2),,,1.0
Article 67,CONTAINS,Article 67(3),,,1.0
Article 67,CONTAINS,Article 67(4),,,1.0
Article 67,CONTAINS,Article 67(5),,,1.0
Article 67,CONTAINS,Article 67(6),,,1.0
Article 67,CONTAINS,Article 67(7),,,1.0
Article 67,CONTAINS,Article 67(8),,,1.0
Article 67,CONTAINS,Article 67(9),,,1.0
Article 67,CONTAINS,Article 67(10),,,1.0
Article 68,CONTAINS,Article 68(1),,,1.0
Article 68,CONTAINS,Article 68(2),,,1.0
Article 68,CONTAINS,Article 68(3),,,1.0
Article 68,CONTAINS,Article 68(4),,,1.0
Article 68,CONTAINS,Article 68(5),,,1.0
Article 69,CONTAINS,Article 69(1),,,1.0
Article 69,CONTAINS,Article 69(2),,,1.0
Article 69,CONTAINS,Article 69(3),,,1.0
Article 70,CONTAINS,Article 70(1),,,1.0
Article 70,CONTAINS,Article 70(2),,,1.0
Article 70,CONTAINS,Article 70(3),,,1.0
Article 70,CONTAINS,Article 70(4),,,1.0
Article 70,CONTAINS,Article 70(5),,,1.0
Article 70,CONTAINS,Article 70(6),,,1.0
Article 70,CONTAINS,Article 70(7),,,1.0
Article 70,CONTAINS,Article 70(8),,,1.0
Article 70,CONTAINS,Article 70(9),,,1.0
Article 71,CONTAINS,Article 71(1),,,1.0
Article 71,CONTAINS,Article 71(2),,,1.0
Article 71,CONTAINS,Article 71(3),,,1.0
Article 71,CONTAINS,Article 71(4),,,1.0
Article 71,CONTAINS,Article 71(5),,,1.0
Article 71,CONTAINS,Article 71(6),,,1.0
Article 72,CONTAINS,Article 72(1),,,1.0
Article 72,CONTAINS,Article 72(2),,,1.0
Article 72,CONTAINS,Article 72(3),,,1.0
Article 72,CONTAINS,Article 72(4),,,1.0
Article 73,CONTAINS,Article 73(1),,,1.0
Article 73,CONTAINS,Article 73(2),,,1.0
Article 73,CONTAINS,Article 73(3),,,1.0
Article 73,CONTAINS,Article 73(4),,,1.0
Article 73,CONTAINS,Article 73(5),,,1.0
Article 73,CONTAINS,Article 73(6),,,1.0
Article 73,CONTAINS,Article 73(7),,,1.0
Article 73,CONTAINS,Article 73(8),,,1.0
Article 73,CONTAINS,Article 73(9),,,1.0
Article 73,CONTAINS,Article 73(10),,,1.0
Article 73,CONTAINS,Article 73(11),,,1.0
Article 74,CONTAINS,Article 74(1),,,1.0
Article 74,CONTAINS,Article 74(2),,,1.0
Article 74,CONTAINS,Article 74(3),,,1.0
Article 74,CONTAINS,Article 74(4),,,1.0
Article 74,CONTAINS,Article 74(5),,,1.0
Article 74,CONTAINS,Article 74(6),,,1.0
Article 74,CONTAINS,Article 74(7),,,1.0
Article 74,CONTAINS,Article 74(8),,,1.0
Article 74,CONTAINS,Article 74(9),,,1.0
Article 74,CONTAINS,Article 74(10),,,1.0
Article 74,CONTAINS,Article 74(11),,,1.0
Article 74,CONTAINS,Article 74(12),,,1.0
Article 74,CONTAINS,Article 74(13),,,1.0
Article 74,CONTAINS,Article 74(14),,,1.0
Article 75,CONTAINS,Article 75(1),,,1.0
Article 75,CONTAINS,Article 75(2),,,1.0
Article 75,CONTAINS,Article 75(3),,,1.0
Article 76,CONTAINS,Article 76(1),,,1.0
Article 76,CONTAINS,Article 76(2),,,1.0
Article 76,CONTAINS,Article 76(3),,,1.0
Article 76,CONTAINS,Article 76(4),,,1.0
Article 76,CONTAINS,Article 76(5),,,1.0
Article 77,CONTAINS,Article 77(1),,,1.0
Article 77,CONTAINS,Article 77(2),,,1.0
Article 77,CONTAINS,Article 77(3),,,1.0
Article 77,CONTAINS,Article 77(4),,,1.0
Article 78,CONTAINS,Article 78(1),,,1.0
Article 78,CONTAINS,Article 78(2),,,1.0
Article 78,CONTAINS,Article 78(3),,,1.0
Article 78,CONTAINS,Article 78(4),,,1.0
Article 78,CONTAINS,Article 78(5),,,1.0
Article 79,CONTAINS,Article 79(1),,,1.0
Article 79,CONTAINS,Article 79(2),,,1.0
Article 79,CONTAINS,Article 79(57),,,1.0
Article 79,CONTAINS,Article 79(3),,,1.0
Article 79,CONTAINS,Article 79(4),,,1.0
Article 79,CONTAINS,Article 79(5),,,1.0
Article 79,CONTAINS,Article 79(6),,,1.0
Article 79,CONTAINS,Article 79(7),,,1.0
Article 79,CONTAINS,Article 79(8),,,1.0
Article 79,CONTAINS,Article 79(9),,,1.0
Article 80,CONTAINS,Article 80(1),,,1.0
Article 80,CONTAINS,Article 80(2),,,1.0
Article 80,CONTAINS,Article 80(3),,,1.0
Article 80,CONTAINS,Article 80(4),,,1.0
Article 80,CONTAINS,Article 80(5),,,1.0
Article 80,CONTAINS,Article 80(6),,,1.0
Article 80,CONTAINS,Article 80(7),,,1.0
Article 80,CONTAINS,Article 80(8),,,1.0
Article 81,CONTAINS,Article 81(1),,,1.0
Article 81,CONTAINS,Article 81(2),,,1.0
Article 81,CONTAINS,Article 81(3),,,1.0
Article 82,CONTAINS,Article 82(1),,,1.0
Article 82,CONTAINS,Article 82(2),,,1.0
Article 82,CONTAINS,Article 82(3),,,1.0
Article 82,CONTAINS,Article 82(4),,,1.0
Article 82,CONTAINS,Article 82(5),,,1.0
Article 83,CONTAINS,Article 83(1),,,1.0
Article 83,CONTAINS,Article 83(2),,,1.0
Article 84,CONTAINS,Article 84(1),,,1.0
Article 84,CONTAINS,Article 84(2),,,1.0
Article 86,CONTAINS,Article 86(1),,,1.0
Article 86,CONTAINS,Article 86(2),,,1.0
Article 86,CONTAINS,Article 86(3),,,1.0
Article 88,CONTAINS,Article 88(1),,,1.0
Article 88,CONTAINS,Article 88(2),,,1.0
Article 89,CONTAINS,Article 89(1),,,1.0
Article 89,CONTAINS,Article 89(2),,,1.0
Article 90,CONTAINS,Article 90(1),,,1.0
Article 90,CONTAINS,Article 90(2),,,1.0
Article 90,CONTAINS,Article 90(3),,,1.0
Article 91,CONTAINS,Article 91(1),,,1.0
Article 91,CONTAINS,Article 91(2),,,1.0
Article 91,CONTAINS,Article 91(3),,,1.0
Article 91,CONTAINS,Article 91(4),,,1.0
Article 91,CONTAINS,Article 91(5),,,1.0
Article 92,CONTAINS,Article 92(1),,,1.0
Article 92,CONTAINS,Article 92(2),,,1.0
Article 92,CONTAINS,Article 92(3),,,1.0
Article 92,CONTAINS,Article 92(4),,,1.0
Article 92,CONTAINS,Article 92(5),,,1.0
Article 92,CONTAINS,Article 92(6),,,1.0
Article 92,CONTAINS,Article 92(7),,,1.0
Article 93,CONTAINS,Article 93(1),,,1.0
Article 93,CONTAINS,Article 93(2),,,1.0
Article 93,CONTAINS,Article 93(3),,,1.0
Article 95,CONTAINS,Article 95(1),,,1.0
Article 95,CONTAINS,Article 95(2),,,1.0
Article 95,CONTAINS,Article 95(3),,,1.0
Article 95,CONTAINS,Article 95(4),,,1.0
Article 96,CONTAINS,Article 96(1),,,1.0
Article 96,CONTAINS,Article 96(2),,,1.0
Article 97,CONTAINS,Article 97(1),,,1.0
Article 97,CONTAINS,Article 97(2),,,1.0
Article 97,CONTAINS,Article 97(3),,,1.0
Article 97,CONTAINS,Article 97(4),,,1.0
Article 97,CONTAINS,Article 97(5),,,1.0
Article 97,CONTAINS,Article 97(6),,,1.0
Article 98,CONTAINS,Article 98(1),,,1.0
Article 98,CONTAINS,Article 98(2),,,1.0
Article 99,CONTAINS,Article 99(1),,,1.0
Article 99,CONTAINS,Article 99(2),,,1.0
Article 99,CONTAINS,Article 99(3),,,1.0
Article 99,CONTAINS,Article 99(4),,,1.0
Article 99,CONTAINS,Article 99(5),,,1.0
Article 99,CONTAINS,Article 99(6),,,1.0
Article 99,CONTAINS,Article 99(7),,,1.0
Article 99,CONTAINS,Article 99(8),,,1.0
Article 99,CONTAINS,Article 99(9),,,1.0
Article 99,CONTAINS,Article 99(10),,,1.0
Article 99,CONTAINS,Article 99(11),,,1.0
Article 100,CONTAINS,Article 100(1),,,1.0
Article 100,CONTAINS,Article 100(2),,,1.0
Article 100,CONTAINS,Article 100(3),,,1.0
Article 100,CONTAINS,Article 100(4),,,1.0
Article 100,CONTAINS,Article 100(5),,,1.0
Article 100,CONTAINS,Article 100(6),,,1.0
Article 100,CONTAINS,Article 100(7),,,1.0
Article 101,CONTAINS,Article 101(1),,,1.0
Article 101,CONTAINS,Article 101(2),,,1.0
Article 101,CONTAINS,Article 101(3),,,1.0
Article 101,CONTAINS,Article 101(4),,,1.0
Article 101,CONTAINS,Article 101(5),,,1.0
Article 101,CONTAINS,Article 101(6),,,1.0
Article 108,CONTAINS,Article 108(1),,,1.0
Article 108,CONTAINS,Article 108(2),,,1.0
Article 108,CONTAINS,Article 108(3),,,1.0
Article 108,CONTAINS,Article 108(4),,,1.0
Article 108,CONTAINS,Article 108(5),,,1.0
